ref_no,event_ts,debit_acct,credit_acct,txn_value,ccy,activity_code,channel_cd,orig_ctry,dest_ctry,aml_flag,typology
T-000448,2025-03-30 20:13:35.399917,ACC-HUB03,ACC-SMF13,8015.68,USD,XFER,ONL,US,US,Y,SMURFING
T-000449,2025-05-08 14:15:00.000000,ACC-N0033,ACC-N0072,8077.71,USD,WD,ATM,SG,JP,,
T-000450,2025-05-21 05:50:00.000000,ACC-N0191,ACC-N0133,12066.15,USD,XFER,ONL,JP,AU,,
T-000451,2025-04-11 16:12:00.000000,ACC-N0026,ACC-N0121,4148.51,USD,XFER,ONL,GB,DE,,
T-000452,2025-04-26 21:16:00.000000,ACC-N0184,ACC-N0195,4769.3,USD,WD,BRN,FR,AU,,
T-000453,2025-04-13 18:17:00.000000,ACC-STR09,ACC-N0035,9525.42,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000454,2025-04-01 20:04:00.000000,ACC-N0038,ACC-N0021,9173.58,USD,XFER,ONL,JP,FR,,
T-000455,2025-04-16 21:56:00.000000,ACC-N0039,ACC-SMF08,5030.28,USD,DEP,BRN,CA,FR,,
T-000456,2025-04-04 10:02:00.000000,ACC-N0170,ACC-N0132,4190.83,USD,XFER,ONL,AU,AU,,
T-000457,2025-03-23 13:32:00.000000,ACC-N0117,ACC-N0193,12528.29,USD,XFER,ONL,US,CA,,
T-000458,2025-03-20 15:37:00.000000,ACC-STR01,ACC-SMF24,9192.9,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000459,2025-05-22 15:27:00.000000,ACC-N0104,ACC-N0063,1454.76,USD,XFER,MOB,US,SG,,
T-000460,2025-04-10 15:34:00.000000,ACC-RCO06,ACC-N0107,9300.17,USD,WD,BRN,CA,FR,,
T-000461,2025-03-01 23:12:00.000000,ACC-N0054,ACC-N0161,13682.15,USD,XFER,ONL,SG,US,,
T-000462,2025-05-15 09:08:00.000000,ACC-N0088,ACC-SMF09,13148.15,USD,WD,BRN,SG,AU,,
T-000463,2025-03-28 12:37:00.000000,ACC-N0145,ACC-N0056,1256.41,USD,XFER,ONL,JP,FR,,
T-000464,2025-03-07 20:49:00.000000,ACC-N0032,ACC-N0176,9017.05,USD,WD,ATM,FR,SG,,
T-000465,2025-04-01 06:16:00.000000,ACC-N0106,ACC-N0214,4006.7,USD,DEP,ONL,SG,JP,,
T-000466,2025-04-02 22:21:00.000000,ACC-RCO07,ACC-N0087,4546.12,USD,XFER,MOB,GB,DE,,
T-000467,2025-05-21 07:08:00.000000,ACC-N0066,ACC-LAY24,438.36,USD,XFER,ONL,JP,AU,,
T-000468,2025-05-27 04:51:00.000000,ACC-N0032,ACC-N0172,6874.1,USD,WD,ATM,SG,DE,,
T-000469,2025-05-16 17:38:00.000000,ACC-N0022,ACC-N0067,4207.68,USD,XFER,MOB,JP,FR,,
T-000470,2025-03-02 04:01:08.566435,ACC-HUB02,ACC-SMF07,7256.11,USD,XFER,ONL,US,US,Y,SMURFING
T-000471,2025-04-01 00:30:00.000000,ACC-LAY04,ACC-N0105,63.07,USD,DEP,ATM,DE,GB,,
T-000472,2025-04-14 13:13:00.000000,ACC-SMF22,ACC-N0166,5744.6,USD,XFER,MOB,CA,US,,
T-000473,2025-03-29 21:35:00.000000,ACC-N0092,ACC-N0067,7134.89,USD,DEP,BRN,DE,JP,,
T-000474,2025-03-11 10:31:00.000000,ACC-N0080,ACC-N0204,4923.87,USD,XFER,MOB,DE,GB,,
T-000475,2025-05-23 20:32:00.000000,ACC-STR07,ACC-N0142,8403.87,USD,DEP,ATM,FR,JP,,
T-000476,2025-03-08 04:02:00.000000,ACC-N0164,ACC-N0118,8884.2,USD,XFER,ONL,DE,JP,,
T-000477,2025-04-15 04:14:00.000000,ACC-N0047,ACC-N0190,9190.21,USD,WD,BRN,GB,JP,,
T-000478,2025-04-09 01:06:00.000000,ACC-SMF05,ACC-N0215,5549.71,USD,XFER,ONL,JP,JP,,
T-000479,2025-04-20 17:28:00.000000,ACC-N0130,ACC-N0062,12855.05,USD,WD,BRN,DE,FR,,
T-000480,2025-04-04 16:11:00.000000,ACC-N0094,ACC-N0101,9028.97,USD,XFER,MOB,SG,US,,
T-000481,2025-04-17 23:48:00.000000,ACC-N0165,ACC-SMF09,5715.43,USD,XFER,MOB,DE,FR,,
T-000482,2025-04-09 21:11:00.000000,ACC-SMF08,ACC-N0024,636.94,USD,XFER,ONL,US,GB,,
T-000483,2025-05-29 00:34:00.000000,ACC-STR04,ACC-N0126,5100.05,USD,WD,ATM,US,FR,,
T-000484,2025-04-19 19:14:00.000000,ACC-SMF17,ACC-N0152,2465.55,USD,XFER,MOB,JP,CA,,
T-000485,2025-03-27 16:10:00.000000,ACC-N0128,ACC-N0197,13612.72,USD,DEP,ATM,GB,FR,,
T-000486,2025-04-26 19:57:00.000000,ACC-SMF09,ACC-LAY15,11702.76,USD,DEP,ATM,US,FR,,
T-000487,2025-05-26 02:39:00.000000,ACC-N0005,ACC-SMF16,10477.9,USD,XFER,ONL,FR,GB,,
T-000488,2025-05-17 14:53:00.000000,ACC-N0043,ACC-N0067,3310.11,USD,WD,ATM,GB,AU,,
T-000489,2025-03-12 22:38:00.000000,ACC-STR10,ACC-N0204,9128.93,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000490,2025-03-20 20:50:00.000000,ACC-STR01,ACC-N0037,7278.95,USD,XFER,MOB,AU,CA,,
T-000491,2025-05-16 10:14:00.000000,ACC-N0212,ACC-N0075,14040.75,USD,DEP,ATM,US,DE,,
T-000492,2025-03-10 17:40:00.000000,ACC-STR03,ACC-N0183,3780.92,USD,XFER,MOB,AU,AU,,
T-000493,2025-04-08 01:54:00.000000,ACC-N0211,ACC-N0085,849.03,USD,XFER,MOB,FR,GB,,
T-000494,2025-04-27 22:50:00.000000,ACC-N0058,ACC-N0104,13625.47,USD,XFER,MOB,US,US,,
T-000495,2025-04-22 19:44:00.000000,ACC-N0179,ACC-SMF05,12964.18,USD,DEP,ATM,AU,CA,,
T-000496,2025-04-30 16:27:00.704280,ACC-RCO06,ACC-N0186,7326.82,USD,CSH,ATM,US,US,Y,RAPID_CASHOUT
T-000497,2025-03-12 17:48:00.000000,ACC-N0037,ACC-N0201,4297.38,USD,XFER,MOB,FR,SG,,
T-000498,2025-05-12 23:20:00.000000,ACC-LAY19,ACC-N0009,8197.34,USD,XFER,ONL,FR,CA,,
T-000499,2025-03-23 07:32:00.000000,ACC-RCO04,ACC-N0011,10518.16,USD,DEP,ONL,FR,US,,
T-000500,2025-04-05 19:09:00.000000,ACC-N0183,ACC-N0010,1590.58,USD,DEP,ATM,US,FR,,
T-000501,2025-03-20 09:03:00.000000,ACC-STR08,ACC-LAY20,10281.86,USD,WD,ATM,DE,AU,,
T-000502,2025-03-02 19:10:00.000000,ACC-N0089,ACC-N0180,4161.88,USD,XFER,ONL,DE,AU,,
T-000503,2025-03-13 09:54:05.824804,ACC-RCO04,ACC-RCO03,8433.8,USD,CSH,BRN,US,US,Y,RAPID_CASHOUT
T-000504,2025-03-30 03:24:00.000000,ACC-N0119,ACC-N0054,3876.46,USD,WD,ATM,SG,JP,,
T-000505,2025-04-23 06:14:00.000000,ACC-N0137,ACC-SMF11,7369.3,USD,XFER,ONL,US,DE,,
T-000506,2025-03-25 00:29:00.000000,ACC-RCO07,ACC-N0111,11554.11,USD,WD,BRN,DE,SG,,
T-000507,2025-03-28 02:30:00.000000,ACC-N0007,ACC-N0192,9145.35,USD,WD,BRN,US,US,,
T-000508,2025-03-20 08:30:00.000000,ACC-HUB04,ACC-N0089,263.19,USD,XFER,MOB,US,AU,,
T-000509,2025-05-20 19:26:00.000000,ACC-STR04,ACC-N0179,10339.07,USD,WD,ATM,GB,DE,,
T-000510,2025-04-01 03:54:00.000000,ACC-N0176,ACC-N0113,13063.91,USD,XFER,MOB,SG,DE,,
T-000511,2025-04-05 05:06:00.000000,ACC-N0014,ACC-N0142,9659.73,USD,WD,BRN,CA,AU,,
T-000512,2025-03-18 05:12:55.580246,ACC-RCO01,ACC-HUB04,14757.25,USD,CSH,ATM,US,US,Y,RAPID_CASHOUT
T-000513,2025-05-02 20:57:00.000000,ACC-SMF22,ACC-LAY13,7662.97,USD,XFER,MOB,JP,CA,,
T-000514,2025-05-19 20:12:59.111106,ACC-HUB01,ACC-SMF02,8284.9,USD,XFER,ONL,US,US,Y,SMURFING
T-000515,2025-03-21 11:19:00.000000,ACC-N0100,ACC-N0093,4899.66,USD,XFER,ONL,US,US,,
T-000516,2025-04-07 05:01:00.000000,ACC-N0154,ACC-N0209,7498.75,USD,XFER,ONL,US,JP,,
T-000517,2025-05-06 17:20:07.773864,ACC-RCO10,ACC-N0065,7046.32,USD,CSH,BRN,US,US,Y,RAPID_CASHOUT
T-000518,2025-05-09 06:16:00.000000,ACC-N0176,ACC-N0212,8358.78,USD,DEP,BRN,FR,AU,,
T-000519,2025-04-05 03:09:00.000000,ACC-N0141,ACC-N0176,9807.61,USD,XFER,ONL,FR,AU,,
T-000520,2025-05-19 09:14:00.000000,ACC-N0140,ACC-N0165,7522.13,USD,WD,BRN,GB,GB,,
T-000521,2025-03-03 14:43:32.351640,ACC-RCO02,ACC-N0198,12738.92,USD,CSH,BRN,US,US,Y,RAPID_CASHOUT
T-000522,2025-03-02 09:17:00.000000,ACC-HUB04,ACC-LAY08,9520.94,USD,XFER,MOB,US,FR,,
T-000523,2025-05-20 14:54:00.000000,ACC-N0050,ACC-N0163,11278.36,USD,WD,BRN,FR,CA,,
T-000524,2025-03-05 08:33:00.000000,ACC-N0139,ACC-N0139,14305.63,USD,XFER,MOB,CA,DE,,
T-000525,2025-05-07 03:37:00.000000,ACC-N0107,ACC-N0188,11704.65,USD,DEP,ATM,CA,AU,,
T-000526,2025-04-19 18:09:00.000000,ACC-N0061,ACC-N0149,11951.73,USD,XFER,ONL,AU,DE,,
T-000527,2025-05-01 20:15:00.000000,ACC-RCO08,ACC-N0191,6625.46,USD,DEP,BRN,US,AU,,
T-000528,2025-05-11 07:12:00.000000,ACC-N0112,ACC-N0033,10848.89,USD,XFER,ONL,US,JP,,
T-000529,2025-03-22 00:58:00.000000,ACC-STR01,ACC-SMF24,9369.26,USD,CSH,BRN,US,US,Y,STRUCTURING
T-000530,2025-04-28 00:59:00.000000,ACC-N0189,ACC-SMF11,4374.63,USD,DEP,ATM,DE,DE,,
T-000531,2025-03-12 01:58:00.000000,ACC-N0164,ACC-N0045,12325.42,USD,DEP,BRN,DE,US,,
T-000532,2025-04-27 10:24:00.000000,ACC-N0180,ACC-N0176,9804.14,USD,XFER,MOB,AU,AU,,
T-000533,2025-03-28 14:36:00.000000,ACC-LAY06,ACC-LAY14,734.59,USD,DEP,ONL,DE,JP,,
T-000534,2025-05-01 00:11:00.000000,ACC-N0162,ACC-N0135,9256.19,USD,XFER,ONL,JP,CA,,
T-000535,2025-05-01 14:48:00.000000,ACC-STR06,ACC-SMF24,9599.34,USD,XFER,ATM,US,US,Y,STRUCTURING
T-000536,2025-05-09 02:21:00.000000,ACC-N0130,ACC-LAY04,11893.15,USD,XFER,ONL,AU,CA,,
T-000537,2025-04-17 01:56:00.000000,ACC-N0122,ACC-N0009,14673.34,USD,XFER,ONL,FR,DE,,
T-000538,2025-03-05 21:55:00.000000,ACC-N0002,ACC-SMF04,12212.55,USD,DEP,ATM,FR,DE,,
T-000539,2025-05-22 20:35:00.000000,ACC-SMF15,ACC-N0010,11249.89,USD,WD,ATM,FR,GB,,
T-000540,2025-04-11 16:51:00.000000,ACC-N0047,ACC-N0151,4134.84,USD,XFER,ONL,CA,CA,,
T-000541,2025-04-03 08:30:00.000000,ACC-N0026,ACC-N0142,10179.29,USD,DEP,BRN,GB,US,,
T-000542,2025-04-13 05:40:00.000000,ACC-N0005,ACC-N0111,10822.92,USD,DEP,ATM,US,SG,,
T-000543,2025-04-23 22:03:00.000000,ACC-N0021,ACC-N0101,6986.03,USD,XFER,MOB,DE,JP,,
T-000544,2025-03-14 07:42:38.030761,ACC-RCO07,ACC-N0100,18801.44,USD,CSH,ATM,US,US,Y,RAPID_CASHOUT
T-000545,2025-03-28 18:06:00.000000,ACC-N0060,ACC-N0081,14027.45,USD,XFER,MOB,DE,FR,,
T-000546,2025-04-14 19:53:00.000000,ACC-STR09,ACC-N0035,9353.45,USD,XFER,BRN,US,US,Y,STRUCTURING
T-000547,2025-04-02 07:05:00.000000,ACC-N0195,ACC-N0010,484.28,USD,XFER,ONL,GB,US,,
T-000548,2025-05-06 04:55:00.000000,ACC-N0111,ACC-RCO10,31016.48,USD,WIRE,WR,CA,US,Y,RAPID_CASHOUT
T-000549,2025-03-31 21:23:00.000000,ACC-LAY20,ACC-STR08,10698.49,USD,WD,BRN,US,SG,,
T-000550,2025-04-17 02:38:00.000000,ACC-LAY11,ACC-N0065,2827.52,USD,XFER,ONL,FR,JP,,
T-000551,2025-05-05 08:55:00.000000,ACC-N0219,ACC-SMF12,9012.1,USD,WD,ATM,FR,US,,
T-000552,2025-05-13 02:15:00.000000,ACC-STR02,ACC-N0162,9842.54,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000553,2025-05-13 21:22:00.000000,ACC-N0115,ACC-N0135,8271.87,USD,XFER,MOB,AU,SG,,
T-000554,2025-03-18 21:06:00.000000,ACC-N0176,ACC-N0217,6459.58,USD,WD,ATM,SG,JP,,
T-000555,2025-03-28 23:14:00.000000,ACC-N0168,ACC-LAY14,9344.49,USD,XFER,ONL,AU,GB,,
T-000556,2025-03-02 20:38:00.000000,ACC-STR01,ACC-N0167,4169.36,USD,XFER,ONL,JP,CA,,
T-000557,2025-04-03 01:14:00.000000,ACC-SMF11,ACC-SMF10,4701.42,USD,WD,BRN,SG,US,,
T-000558,2025-03-12 19:26:00.000000,ACC-N0085,ACC-N0011,3637.2,USD,WD,BRN,CA,CA,,
T-000559,2025-05-19 22:24:00.000000,ACC-STR01,ACC-N0095,9396.75,USD,XFER,ONL,FR,US,,
T-000560,2025-04-05 13:47:00.000000,ACC-N0154,ACC-N0109,1696.99,USD,DEP,BRN,SG,DE,,
T-000561,2025-04-15 19:11:00.000000,ACC-N0088,ACC-N0122,1891.48,USD,XFER,MOB,FR,SG,,
T-000562,2025-04-01 21:46:00.000000,ACC-N0129,ACC-N0075,14287.5,USD,WD,BRN,SG,US,,
T-000563,2025-04-06 07:52:00.000000,ACC-N0140,ACC-N0217,1432.65,USD,WD,BRN,FR,SG,,
T-000564,2025-05-11 02:49:00.000000,ACC-N0013,ACC-N0062,11854.35,USD,WD,BRN,CA,SG,,
T-000565,2025-05-05 02:31:00.000000,ACC-N0146,ACC-N0081,557.11,USD,XFER,ONL,DE,AU,,
T-000566,2025-03-15 01:33:00.000000,ACC-N0148,ACC-HUB04,8554.49,USD,XFER,MOB,DE,DE,,
T-000567,2025-03-20 00:20:00.000000,ACC-N0144,ACC-SMF11,3645.05,USD,XFER,ONL,DE,FR,,
T-000568,2025-05-20 10:19:00.000000,ACC-RCO08,ACC-N0151,206.45,USD,XFER,ONL,US,AU,,
T-000569,2025-03-04 06:20:00.000000,ACC-SMF16,ACC-N0184,4742.42,USD,XFER,ONL,SG,FR,,
T-000570,2025-05-08 01:48:25.873537,ACC-RCO09,ACC-N0030,5692.37,USD,CSH,BRN,US,US,Y,RAPID_CASHOUT
T-000571,2025-05-03 09:15:00.000000,ACC-N0099,ACC-N0129,11484.83,USD,XFER,ONL,SG,AU,,
T-000572,2025-03-01 00:16:00.000000,ACC-N0159,ACC-N0022,12410.6,USD,DEP,ONL,JP,JP,,
T-000573,2025-04-05 07:50:00.000000,ACC-N0058,ACC-N0028,14768.77,USD,WD,ATM,JP,CA,,
T-000574,2025-04-16 10:54:00.000000,ACC-N0083,ACC-HUB02,8795.07,USD,WD,BRN,AU,AU,,
T-000575,2025-05-04 07:44:00.000000,ACC-RCO07,ACC-N0195,11315.23,USD,XFER,MOB,DE,DE,,
T-000576,2025-05-07 10:23:00.000000,ACC-N0112,ACC-SMF20,13709.24,USD,DEP,ONL,GB,JP,,
T-000577,2025-05-28 05:21:00.000000,ACC-LAY23,ACC-N0137,6234.6,USD,DEP,ATM,AU,DE,,
T-000578,2025-04-04 23:23:00.000000,ACC-N0193,ACC-N0133,13717.56,USD,XFER,MOB,DE,US,,
T-000579,2025-03-01 03:04:00.000000,ACC-N0044,ACC-N0191,1468.45,USD,XFER,MOB,FR,SG,,
T-000580,2025-05-04 09:57:00.000000,ACC-N0152,ACC-HUB03,9003.93,USD,XFER,MOB,SG,GB,,
T-000581,2025-05-25 10:08:00.000000,ACC-N0054,ACC-LAY05,6855.68,USD,XFER,MOB,DE,DE,,
T-000582,2025-03-13 13:49:00.000000,ACC-N0197,ACC-N0185,14450.54,USD,WD,BRN,FR,JP,,
T-000583,2025-04-12 22:27:00.000000,ACC-N0091,ACC-N0068,5225.52,USD,XFER,MOB,JP,US,,
T-000584,2025-05-21 21:55:00.000000,ACC-N0195,ACC-N0132,8015.58,USD,WD,BRN,AU,FR,,
T-000585,2025-04-01 23:42:00.000000,ACC-N0207,ACC-N0022,11345.14,USD,XFER,ONL,US,FR,,
T-000586,2025-03-03 23:01:00.000000,ACC-N0040,ACC-RCO09,2810.21,USD,XFER,ONL,CA,CA,,
T-000587,2025-03-26 13:02:00.000000,ACC-N0114,ACC-N0004,8627.99,USD,XFER,ONL,SG,AU,,
T-000588,2025-03-04 20:21:00.000000,ACC-LAY13,ACC-N0205,5442.82,USD,XFER,ONL,US,FR,,
T-000589,2025-05-11 04:32:00.000000,ACC-N0159,ACC-SMF21,10748.71,USD,XFER,ONL,FR,SG,,
T-000590,2025-04-07 18:15:00.000000,ACC-N0001,ACC-N0117,9244.35,USD,DEP,ATM,SG,AU,,
T-000591,2025-03-04 02:35:00.000000,ACC-RCO03,ACC-N0165,8869.2,USD,WD,BRN,GB,GB,,
T-000592,2025-04-17 01:58:00.000000,ACC-N0189,ACC-N0017,8810.75,USD,XFER,ONL,FR,DE,,
T-000593,2025-05-14 07:37:00.000000,ACC-N0023,ACC-N0055,10740.89,USD,DEP,BRN,GB,FR,,
T-000594,2025-04-30 16:32:00.000000,ACC-N0204,ACC-RCO02,7223.01,USD,XFER,MOB,US,GB,,
T-000595,2025-05-26 21:27:00.000000,ACC-RCO07,ACC-N0018,12954.14,USD,XFER,ONL,GB,FR,,
T-000596,2025-05-23 23:29:00.000000,ACC-N0037,ACC-STR07,12477.93,USD,XFER,ONL,JP,FR,,
T-000597,2025-05-09 02:39:00.000000,ACC-SMF19,ACC-N0093,12724.28,USD,XFER,ONL,SG,FR,,
T-000598,2025-05-12 13:16:00.000000,ACC-N0171,ACC-N0212,9715.23,USD,XFER,MOB,JP,DE,,
T-000599,2025-04-12 00:14:00.000000,ACC-N0213,ACC-HUB02,191.14,USD,DEP,ATM,DE,CA,,
T-000600,2025-04-22 19:12:00.000000,ACC-RCO03,ACC-N0170,2169.05,USD,XFER,MOB,DE,CA,,
T-000601,2025-03-03 23:16:00.000000,ACC-N0053,ACC-N0219,12574.2,USD,XFER,ONL,DE,US,,
T-000602,2025-05-11 00:15:00.000000,ACC-SMF11,ACC-N0037,12880.25,USD,WD,BRN,AU,CA,,
T-000603,2025-05-17 03:55:00.000000,ACC-N0191,ACC-N0218,7072.25,USD,WD,BRN,SG,SG,,
T-000604,2025-03-24 20:18:00.000000,ACC-N0145,ACC-N0149,13175.38,USD,XFER,MOB,US,SG,,
T-000605,2025-03-24 20:39:00.000000,ACC-LAY23,ACC-N0066,13448.88,USD,XFER,ONL,AU,US,,
T-000606,2025-04-28 14:35:00.000000,ACC-STR06,ACC-SMF24,8979.13,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000607,2025-03-09 14:16:00.000000,ACC-N0213,ACC-LAY19,4318.87,USD,XFER,ONL,SG,SG,,
T-000608,2025-05-11 02:52:42.723761,ACC-HUB04,ACC-SMF20,7907.72,USD,XFER,ONL,US,US,Y,SMURFING
T-000609,2025-03-10 13:30:00.000000,ACC-N0196,ACC-HUB03,14417.24,USD,XFER,MOB,AU,DE,,
T-000610,2025-05-24 16:06:00.000000,ACC-STR11,ACC-N0003,8707.39,USD,XFER,ONL,SG,SG,,
T-000611,2025-04-09 14:22:00.000000,ACC-N0181,ACC-N0205,12157.07,USD,WD,BRN,DE,US,,
T-000612,2025-05-06 14:37:00.000000,ACC-SMF23,ACC-N0171,560.21,USD,DEP,BRN,AU,CA,,
T-000613,2025-05-02 05:33:00.000000,ACC-N0096,ACC-LAY10,3492.35,USD,DEP,ATM,FR,JP,,
T-000614,2025-03-03 20:05:00.000000,ACC-SMF24,ACC-N0001,13339.41,USD,XFER,ONL,SG,JP,,
T-000615,2025-04-05 22:30:00.000000,ACC-N0055,ACC-N0089,14030.59,USD,XFER,MOB,DE,DE,,
T-000616,2025-04-16 22:47:00.000000,ACC-N0007,ACC-LAY09,12410.0,USD,DEP,ATM,FR,DE,,
T-000617,2025-05-19 21:02:00.000000,ACC-STR07,ACC-RCO09,4787.49,USD,WD,ATM,JP,JP,,
T-000618,2025-04-14 02:43:00.000000,ACC-SMF20,ACC-SMF21,1371.07,USD,WD,BRN,US,DE,,
T-000619,2025-05-13 01:54:00.000000,ACC-N0058,ACC-HUB03,6295.4,USD,DEP,BRN,AU,FR,,
T-000620,2025-03-04 16:38:00.000000,ACC-N0083,ACC-N0068,11082.45,USD,XFER,MOB,DE,FR,,
T-000621,2025-05-10 18:27:58.940161,ACC-HUB04,ACC-SMF22,7019.0,USD,XFER,ONL,US,US,Y,SMURFING
T-000622,2025-03-22 10:33:00.000000,ACC-N0115,ACC-N0027,6423.24,USD,WD,ATM,GB,AU,,
T-000623,2025-04-19 08:08:00.000000,ACC-N0171,ACC-N0200,13507.97,USD,XFER,ONL,US,US,,
T-000624,2025-04-13 03:20:00.000000,ACC-N0030,ACC-N0156,10336.01,USD,XFER,ONL,CA,AU,,
T-000625,2025-05-01 00:40:00.000000,ACC-N0053,ACC-N0008,10527.91,USD,XFER,ONL,FR,DE,,
T-000626,2025-03-21 12:08:00.000000,ACC-N0056,ACC-N0149,7596.09,USD,WD,BRN,JP,US,,
T-000627,2025-05-08 10:42:00.000000,ACC-RCO09,ACC-N0141,12395.93,USD,WD,ATM,SG,US,,
T-000628,2025-03-12 19:12:00.000000,ACC-N0197,ACC-RCO09,12481.55,USD,XFER,ONL,CA,CA,,
T-000629,2025-05-24 23:53:00.000000,ACC-N0115,ACC-N0043,8533.56,USD,DEP,ONL,DE,US,,
T-000630,2025-04-09 05:34:00.000000,ACC-N0157,ACC-N0121,13534.67,USD,DEP,BRN,AU,US,,
T-000631,2025-03-03 22:56:00.000000,ACC-N0029,ACC-N0058,7089.31,USD,WD,BRN,CA,GB,,
T-000632,2025-05-03 20:02:00.000000,ACC-STR06,ACC-SMF24,9682.78,USD,XFER,ATM,US,US,Y,STRUCTURING
T-000633,2025-03-18 11:16:00.000000,ACC-SMF18,ACC-N0132,14078.95,USD,WD,ATM,DE,DE,,
T-000634,2025-04-14 13:01:00.000000,ACC-N0066,ACC-N0135,7865.4,USD,WD,BRN,AU,CA,,
T-000635,2025-04-07 04:46:00.000000,ACC-N0158,ACC-N0102,9012.61,USD,XFER,ONL,SG,AU,,
T-000636,2025-04-15 19:35:00.000000,ACC-LAY11,ACC-STR10,876.67,USD,XFER,ONL,SG,SG,,
T-000637,2025-03-08 07:59:00.000000,ACC-LAY12,ACC-N0024,2769.13,USD,XFER,ONL,GB,CA,,
T-000638,2025-05-04 15:15:00.000000,ACC-N0179,ACC-N0023,1460.42,USD,XFER,MOB,DE,FR,,
T-000639,2025-03-05 12:37:00.000000,ACC-N0099,ACC-N0001,12218.23,USD,DEP,ATM,CA,FR,,
T-000640,2025-05-02 01:09:00.000000,ACC-STR07,ACC-N0050,6788.66,USD,WD,BRN,DE,SG,,
T-000641,2025-03-15 04:25:00.000000,ACC-N0151,ACC-STR08,9698.65,USD,DEP,ATM,DE,SG,,
T-000642,2025-05-05 09:15:00.000000,ACC-N0204,ACC-N0013,12235.96,USD,WD,ATM,US,DE,,
T-000643,2025-05-01 11:23:00.000000,ACC-N0044,ACC-N0189,3226.11,USD,WD,BRN,CA,SG,,
T-000644,2025-05-29 08:28:00.000000,ACC-N0188,ACC-SMF08,10649.76,USD,DEP,BRN,DE,FR,,
T-000645,2025-03-03 01:38:00.000000,ACC-N0072,ACC-N0022,4012.2,USD,DEP,BRN,SG,SG,,
T-000646,2025-03-09 07:11:00.000000,ACC-N0181,ACC-N0091,11318.9,USD,XFER,MOB,CA,JP,,
T-000647,2025-03-04 23:05:00.000000,ACC-N0219,ACC-N0069,12792.09,USD,XFER,MOB,GB,DE,,
T-000648,2025-03-16 15:29:00.000000,ACC-N0173,ACC-N0140,8132.37,USD,WD,BRN,US,JP,,
T-000649,2025-04-16 02:42:00.000000,ACC-N0142,ACC-N0107,2012.64,USD,WD,BRN,CA,US,,
T-000650,2025-04-26 14:48:00.000000,ACC-STR05,ACC-N0048,9022.48,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000651,2025-04-18 12:21:00.000000,ACC-N0104,ACC-N0086,9528.41,USD,DEP,BRN,AU,DE,,
T-000652,2025-05-12 07:06:13.521985,ACC-HUB04,ACC-SMF19,8923.57,USD,XFER,ONL,US,US,Y,SMURFING
T-000653,2025-05-27 16:24:00.000000,ACC-N0178,ACC-N0051,3121.19,USD,DEP,ONL,JP,JP,,
T-000654,2025-03-01 06:27:00.000000,ACC-LAY19,ACC-N0096,2420.21,USD,XFER,ONL,JP,FR,,
T-000655,2025-04-21 18:01:00.000000,ACC-N0117,ACC-N0098,525.97,USD,DEP,BRN,AU,CA,,
T-000656,2025-04-28 16:18:00.000000,ACC-LAY21,ACC-N0159,99.6,USD,WD,BRN,DE,SG,,
T-000657,2025-04-27 18:14:00.000000,ACC-N0150,ACC-N0157,6032.37,USD,XFER,MOB,FR,CA,,
T-000658,2025-04-07 02:00:00.000000,ACC-N0173,ACC-N0158,1633.17,USD,XFER,ONL,US,US,,
T-000659,2025-05-19 04:25:00.000000,ACC-LAY23,ACC-N0088,14420.85,USD,XFER,MOB,CA,US,,
T-000660,2025-03-26 04:33:00.000000,ACC-N0132,ACC-N0033,10770.85,USD,DEP,BRN,FR,SG,,
T-000661,2025-04-24 02:06:00.000000,ACC-STR05,ACC-N0126,8832.75,USD,DEP,ONL,GB,FR,,
T-000662,2025-05-22 01:34:00.000000,ACC-LAY07,ACC-N0126,4185.47,USD,XFER,ONL,US,US,,
T-000663,2025-05-08 10:09:00.000000,ACC-N0149,ACC-LAY11,9477.57,USD,DEP,ONL,DE,SG,,
T-000664,2025-03-30 19:00:12.539189,ACC-HUB03,ACC-SMF16,7568.19,USD,XFER,ONL,US,US,Y,SMURFING
T-000665,2025-05-02 03:29:00.000000,ACC-N0170,ACC-N0140,10733.36,USD,DEP,ONL,SG,AU,,
T-000666,2025-04-15 21:52:00.000000,ACC-N0143,ACC-N0204,10612.28,USD,WD,BRN,JP,GB,,
T-000667,2025-05-28 18:10:00.000000,ACC-N0201,ACC-N0050,565.54,USD,XFER,ONL,SG,CA,,
T-000668,2025-04-12 17:34:00.000000,ACC-STR01,ACC-N0110,120.79,USD,DEP,ONL,SG,GB,,
T-000669,2025-04-04 03:38:00.000000,ACC-LAY19,ACC-LAY19,993.57,USD,XFER,ONL,AU,DE,,
T-000670,2025-03-26 20:19:00.000000,ACC-STR11,ACC-N0088,9026.67,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000671,2025-05-20 02:46:00.000000,ACC-LAY18,ACC-N0138,1056.82,USD,XFER,ONL,DE,US,,
T-000672,2025-05-12 03:37:38.585908,ACC-HUB04,ACC-SMF22,7499.06,USD,XFER,ONL,US,US,Y,SMURFING
